Nom,Alquiler,Extra,Carrer,Direccion,Barri,Districte,Població,Província,Descripcion,Latitud,Longitud
Alquiler de piso en calle de joan verdeguer,700 €/m  ,84 m²   3 hab.   5ª planta exterior, Carrer de joan verdeguer  , Carrer de joan verdeguer   El Grau     Poblats Marítims    ,El Grau   , Poblats Marítims   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de El Grau. Tiene una superficie de 84 m2, distribuidos en 3 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. IDEAL PARA EST...",39.45875059999999,-0.3366549
Alquiler de piso en calle de roger de flor,699 €/m  ,70 m²   2 hab.   3ª planta exterior, Carrer de roger de flor  , Carrer de roger de flor   El Pilar     Ciutat Vella    ,El Pilar   , Ciutat Vella   ,Valencia,València,"Se alquila muy luminoso en la zona de El Pilar. Tiene una superficie de 70 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Sencillamente Precioso. Interes...",39.4716,-0.3811853
Alquiler de piso en plaza del Poeta Salvador Rueda,595 €/m  ,60 m²   2 hab.   Bajo exterior, Plaça del Poeta Salvador Rueda  , Plaça del Poeta Salvador Rueda   El Calvari     Campanar    ,El Calvari   , Campanar   ,Valencia,València,"Se alquila piso totalmente reformado para entrar a vivir. El piso consta con internet de fibra óptica 300 megas, por 25 euros más. Se alquila amueblado y con electrodomésticos, dispone de dos habitaciones, un sofá cama, televisor en el comedor y una televisión en cada habitación. La vivienda tien...",39.4863408,-0.3885438
Alquiler de piso en Benicalap,625 €/m  ,61 m²   1 hab.   8ª planta exterior,   ,    Benicalap     Benicalap    ,Benicalap   , Benicalap   ,Valencia,València,"REF. 1108/716. Alquiler de apartamento en primera linea de la Av de Cortes Valencianas, orientación Este, amueblado, con vistas a la ciudad. suelo de mármol, puertas de roble, cocina americana, baño completo, habitación tipo suite. Balcón exterior con ventanas de cristal climalit. Aire acondicion...",39.4935471,-0.3913172
Alquiler de piso en Sant Francesc,2.000 €/me,    170 m²   3 hab.   2ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Preciosa vivienda en alquiler en pleno centro en edificio rehabilitado con ascensor. Vivienda con reforma integral de diseño minimalista con altas calidades, a estrenar. Es un piso por planta, cuenta con 170m² de superficie distribuidos en 3 dormitorios, 2 baños, 1 aseo, salón comedor de 35m² con...",39.4690149,-0.3760125
Alquiler de piso en Sant Francesc,2.000 €/me,    170 m²   3 hab.   3ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Preciosa vivienda en alquiler en pleno centro en edificio rehabilitado con ascensor. Vivienda con reforma integral de diseño minimalista con altas calidades, a estrenar. Es un piso por planta, cuenta con 170m² de superficie distribuidos en 3 dormitorios, 2 baños, 1 aseo, salón comedor de 35m² con...",39.4690149,-0.3760125
Alquiler de ático en calle d'àngel guimerà,685 €/m  ,50 m²   1 hab., Carrer d'àngel guimerà  , Carrer d'àngel guimerà   La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"Se alquila Atico con ascensor muy luminoso en la zona de Arrancapins. Tiene una superficie de 50 m2, distribuidos en 1 habitacion, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Ático Loft,...",39.4696431,-0.3887425
Alquiler de piso en calle dels cavallers,900 €/m  ,70 m²   1 hab.   3ª planta exterior, Carrer dels cavallers  , Carrer dels cavallers   La Seu     Ciutat Vella    ,La Seu   , Ciutat Vella   ,Valencia,València,"Se alquila Piso muy luminoso en la zona de La Seu. Tiene una superficie de 70 m2, distribuidos en 1 habitacion, 1 baño, comedor y cocina. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. 2 MESES DE FIANZA, CALIDADES DE LUJO, EN EL CENTRO DE...",39.476648,-0.3779628
Alquiler de piso en calle de juan ramón jiménez,700 €/m  ,80 m²   2 hab.   7ª planta exterior, Carrer de juan ramón jiménez  , Carrer de juan ramón jiménez   Malilla     Quatre Carreres    ,Malilla   , Quatre Carreres   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Valencia. Tiene una superficie de 80 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Posibilidad d...",39.4510875,-0.3733866
Alquiler de piso en gran via de les germanies,1.580 €/me,    170 m²   5 hab.   1ª planta exterior,  gran via de les germanies  ,  gran via de les germanies   Russafa     L'Eixample    ,Russafa   , L'Eixample   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Valencia. Tiene una superficie de 170 m2, distribuidos en 5 habitaciones, 3 baños, comedor y cocina. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Impresionante piso de lujo en Ruza...",39.4640062,-0.3758211
Alquiler de piso en calle dels adreçadors,1.400 €/me,    120 m²   3 hab.   9ª planta exterior, Carrer dels adreçadors  , Carrer dels adreçadors   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Se alquila Piso muy luminoso en la zona de Sant Francesc. Tiene una superficie de 120 m2, distribuidos en 3 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Vivienda de lujo en...",39.4717047,-0.3790595
Alquiler de piso en avenida d'ausiàs march,599 €/m  ,90 m²   2 hab., Avinguda d'ausiàs march  , Avinguda d'ausiàs march   Malilla     Quatre Carreres    ,Malilla   , Quatre Carreres   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Malilla. Tiene una superficie de 90 m2, distribuidos en 2 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Piso con cale...",39.4482472,-0.3699724
Alquiler de piso en calle d'alberic,899 €/m  ,106 m²   3 hab.   2ª planta exterior, Carrer d'alberic  , Carrer d'alberic   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Arrancapins. Tiene una superficie de 106 m2, distribuidos en 3 habitaciones, 2 baños, comedor y cocina. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Piso de diseño sin amueblar. Ub...",39.4676131,-0.3888505
Alquiler de piso en paseo de la ciutadella,1.400 €/me,    117 m²   3 hab.   6ª planta exterior, Paseo de la ciutadella  , Paseo de la ciutadella   El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,"Fantástico piso situado en el Paseo de la Ciudadela con vistas al rio, zona privilegiada de Valencia. Donde encontramos todas la comodides, a dos pasos del rió, a 2 min del Mercado de Colon y sus tiendas de lujo y del Cortes Ingles de Colon. La vivienda esta con reforma a estrenar, suelo de parq...",39.472076,-0.3664154
Alquiler de piso en calle del pare jofré,999 €/m  ,100 m²   2 hab.   1ª planta exterior, Carrer del pare jofré  , Carrer del pare jofré   La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"Si quieres vivir en Valencia, disfrutar de su clima en una preciosa terraza en tu propia vivienda y junto al centro, ya lo has encontrado, este es tu piso Piso de 90 m2, 2 habitaciones, 1 baños, a/a, armarios, calefacción, gres, terraza, trastero, Patio, Amueblado, Electrodomésticos, Horno, Lavad...",39.467837,-0.381712
Alquiler de piso en calle de l'Alguer,900 €/m  ,96 m²   3 hab.   2ª planta exterior, Carrer de l'Alguer  , Carrer de l'Alguer   L'Illa Perduda     Algirós    ,L'Illa Perduda   , Algirós   ,Valencia,València,"GRAN OPORTUNIDAD! Junto a la Avenida Blasco Ibañez, se alquila esta fantástica vivienda compuesta de 3 hab y 2 baños completos. La finca seminueva y piso completamente amueblado y equipado. Para entrar a vivir sin preocuparte de nada más. Sus muebles tienen apenas 1 año de antigüedad Suelo de má...",39.4702347,-0.3404138
Alquiler de piso en calle de llorenç salom,790 €/m  ,110 m²   3 hab.   1ª planta exterior, Carrer de llorenç salom  , Carrer de llorenç salom   La Raiosa     Jesús    ,La Raiosa   , Jesús   ,Valencia,València,"gran piso con estupenda terraza habilitada para poder disfrutar de ella. El piso tiene 3 habitaciones amplias, salón comedor, con cocina americana, el piso tiene una estupenda terraza de unos 20m2, dispone de aire acondicionado, Televisión LCD de 46 pulgadas. Mobiliario muy bueno. Sofá de piel r...",39.4572868,-0.3860128
Alquiler de estudio en calle de la Mar,650 €/m  ,35 m²      5ª planta exterior, Carrer de la Mar  , Carrer de la Mar   La Xerea     Ciutat Vella    ,La Xerea   , Ciutat Vella   ,Valencia,València,"En el centro de la ciudad, a un paso de la plaza del Ayuntamiento, cerca de la calle Colón, se alquila este precioso apartamento de 1 hab y 1 baño con ducha. No tendrás que hacer nada más que entrar a vivir, ya que dispone de todas las comodidades, se alquila amueblado y con electrodomésticos. E...",39.4737658,-0.3726238
Alquiler de piso en avenida de pérez galdós,650 €/m  ,95 m²   3 hab.   3ª planta, Avinguda de pérez galdós  , Avinguda de pérez galdós   La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"Vivienda reformada a estrenar de 85 m2, de 3 habitaciones amplias, comedor cocina office. Es interior pero entra mucha luz por el patio de manzanas de gran extensión. Electrodomésticos incluidos: Vitroceramica, horno, microondas encastrable inox, campana extractora de humos de alta succión, termo...",39.4728642,-0.3941977
"Alquiler de piso en calle d'Albalat dels Tarongers, 34",650 €/m  ,140 m²   4 hab.   6ª planta exterior," Carrer d'Albalat dels Tarongers, 34  "," Carrer d'Albalat dels Tarongers, 34   La Carrasca     Algirós    ",La Carrasca   , Algirós   ,Valencia,València,"¡Piso para estudiantes! Para entrar a principios de Mayo. Casa y zona perfecta para estudiantes con vistas a la UPV, con una mesa de estudio en cada una de las habitaciones. Habitaciones muy amplias. Salón amplio y muy acogedor, baños muy bien cuidados y limpios. Vistas amplias. Zona universitari...",39.4781486,-0.3469656
Alquiler de piso en avenida del Cid,600 €/m  ,95 m²   3 hab.   6ª planta exterior, Avinguda del Cid  , Avinguda del Cid   Tres Forques     L'Olivereta    ,Tres Forques   , L'Olivereta   ,Valencia,València,"Estupendo piso recien reformado en Avenida del Cid, vivienda de 3 dormitorios el principal con baño en suite, todo exterior, muy luminoso, salón comedor con salida a un balcón, cocina totalmente amueblada con mucho gusto, magnifica vista al Hospital General. 2 ascensores, reforma a estrenar. Junt...",39.4689244,-0.4002552
Alquiler de piso en avenida Francia,1.200 €/me,    136 m²   3 hab.   23ª planta exterior, Avinguda Francia  , Avinguda Francia   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"INCREIBLES VISTAS A TODA VALENCIA Amplia vivienda de 136 m2. Se distribuye en salón comedor con TERRAZA, tres dormitorios, dos baños (uno en suite), cocina con galería y un vestidor. Suelos de mármol color marfil, grandes ventanales, lo que aporta gran luminosidad al inmueble. Aire acondicionado...",39.4597712,-0.3492224
Alquiler de piso en XATIVA,750 €/m  ,45 m²   1 hab.   2ª planta exterior,  XATIVA  ,  XATIVA   La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"Fancy holdings alquila Vivienda reformada amueblada de unos 45 m2, de 1 habitación, comedor cocina office. Electrodomésticos: lavadora -secadora, placa de inducción, nevera, horno, microondas, campana extractora de humos, termo eléctrico. Ventanas con doble climalit ( cristal de aislamiento), y o...",39.4653265,-0.3793059
Alquiler de piso en ruben vela,650 €/m  ,72 m²   3 hab.   7ª planta exterior,  ruben vela  ,  ruben vela   En Corts     Quatre Carreres    ,En Corts   , Quatre Carreres   ,Valencia,València,"650 €. Alquilamos esta vivienda, totalmente amueblada y equipada con electrodomésticos, perfecta para compartir o para grupo de estudiantes. Dispone de 3 habitaciones dobles, salon con cocina office, un baño con ducha de hidromasaje y un gran balcón con vistas a la avendia Ausias March. A pocos m...",39.4573206,-0.373869
Alquiler de piso en calle Linterna,770 €/m  ,52 m²   1 hab.   2ª planta exterior, Carrer Linterna  , Carrer Linterna   El Mercat     Ciutat Vella    ,El Mercat   , Ciutat Vella   ,Valencia,València,Acogedor apartamento exterior en finca de reciente construcción rehabilitada totalmente en el año 2009 en pleno centro de valencia al lado plaza del ayuntamiento. Muy buenas calidades con ventanales de mobila y doble acristalamiento tipo climalit. Suelo de parquet. Paredes lisas. A/a canalizado f...,39.47209429999999,-0.3785436
Alquiler de piso en plaza alcalde domingo torres,850 €/m  ,132 m²   3 hab.   5ª planta exterior, Plaça alcalde domingo torres  , Plaça alcalde domingo torres   Benimaclet     Benimaclet    ,Benimaclet   , Benimaclet   ,Valencia,València,"Alquiler de piso con garaje y trastero incluido en el precio. 90 m2 con 3 dormitorios y 2 baños (uno de ellos en suite). Suite con baño, vestidor y balcón. Zona bien comunicada con metro, tranvía y taxi. Próximo a parque, jardín, ambulatorio, supermercado y farmacia. Finca señorial con conserje,...",39.481663,-0.3578442
Alquiler de piso en avenida del Cardenal Benlloch,1.250 €/me,    150 m²   3 hab.   8ª planta exterior, Avinguda del Cardenal Benlloch  , Avinguda del Cardenal Benlloch   Albors     Camins al Grau    ,Albors   , Camins al Grau   ,Valencia,València,"Excelente vivienda en zona cercana a av aragón, facultades y cauce del rio muy bien comunicada mediante transporte público. Zona céntrica con todo tipo de servicios y comercios en funcionamiento. Exterior muy luminosa en 8ª planta de edificio con 2 orientaciones este-oeste. Amplio salón comedor d...",39.4693023,-0.3553716
Alquiler de piso en calle de la miraculosa,850 €/m  ,130 m²   4 hab.   1ª planta, Carrer de la miraculosa  , Carrer de la miraculosa   Morvedre     La Saïdia    ,Morvedre   , La Saïdia   ,Valencia,València,"Se alquila este apartamento completo de 130m2 en Valencia que cuenta con 4 habitaciones - 1 con cama doble y 3 con camas simples, y 2 baños completos. La cocina esta equipada con frigorífico, lavadora, microondas, horno, tostadora, plancha y batería de cocina. El apartamente cuenta con tv, aire a...",39.4843423,-0.3734896
Alquiler de piso en calle del doctor gil i morte,1.250 €/me,    165 m²   5 hab.   1ª planta, Carrer del doctor gil i morte  , Carrer del doctor gil i morte   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Se alquila este apartamento completo de 165m2 en Valencia que cuenta con 5 habitaciones y 2 baños completosy 1 aseo. La cocina esta equipada con frigorífico, lavadora, microondas, horno, tostadora, plancha y batería de cocina. El apartamente cuenta con tv, wifi, aire acondicionado y calefacción....",39.4624299,-0.3805152
